Ritz Crackers	13.7 oz (388 g)		http://www.publix.com/images/products/300000/304781-600x600-A.jpg	Nutrition Facts Serving Size 5 Cracker(s) (16g) Servings Per Container about 24 Amount Per Serving Calories from Fat 40 Calories 80 % Daily Value* 7% Total Fat 4.5g 5% Saturated Fat 1g Trans Fat 0g Polyunsaturated Fat 2g Monounsaturated Fat 1g 0% Cholesterol 0mg 4% Sodium 105mg 0% Potassium 15mg 3% Total Carbohydrates 10g 0% Dietary Fiber 0g Sugars 1g Protein 1g 0% Vitamin A 0% Vitamin C 2% Calcium 4% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate {Vitamin B1}, Riboflavin {Vitamin B2}, Folic Acid), Vegetable Oil (Soybean And/Or Canola And/Or Palm And/Or Partially Hydrogenated Cottonseed Oil), Sugar, Salt, Leavening (Baking Soda And/Or Calcium Phosphate), High Fructose Corn Syrup, Soy Lecithin, Malted Barley Flour, Natural Flavor.	Contains: Wheat, Soy.
Premium Crackers, Saltine, Original	1 lb (453 g)		http://www.publix.com/images/products/300000/300550-600x600-A.jpg	Nutrition Facts Serving Size 5 Cracker(s) (16g) Servings Per Container 28 Amount Per Serving Calories from Fat 15 Calories 70 % Daily Value* 2% Total Fat 1.5g 0% Saturated Fat 0g Trans Fat 0g Polyunsaturated Fat 0.5g Monounsaturated Fat 0g 0% Cholesterol 0mg 6% Sodium 135mg 4% Total Carbohydrates 12g 0% Dietary Fiber 0g Sugars 0g Sugar Alcohol 0g Protein 1g 0% Vitamin A 0% Vitamin C 0% Calcium 4% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate {Vitamin B1}, Riboflavin {Vitamin B2}, Folic Acid), Vegetable Oil (Soybean And/Or Canola And/Or Palm And/Or Partially Hydrogenated Cottonseed Oil), Sea Salt, Salt, Malted Barley Flour, Baking Soda, Yeast.	Contains: Wheat.
Club Crackers, Original	13.7 oz (388 g)	Light, flaky, buttery. Per 4 Crackers: 70 calories; 0.5 g sat fat (3% DV); 125 mg sodium (5% DV); 1 g sugars. Kellogg's Family rewards. No code inside. Learn more at KFR.com. The Perfect Snack: Club crackers go great with anything, anytime. Topped or on their own, their uniquely light, buttery taste makes them ideal for munching. Deliciously simple snacking! Collect points. Earn rewards. No more codes. Two easy ways to collect points! Go to KFR.com to learn more. No cholesterol. Low in saturated fat (contains 3 g of fat per serving). Produced with genetic engineering. Questions or comments? Visit: Keebler.com. Call: 1-877-453-5837. Provide production code on package. how2recycle.info.Show Lessfat (contains 3 g of fat per serving). Produced with genetic engineering. Questions or comments? Visit: Keebler.com. Call: 1-877-453-5837. Provide production code on package. how2recycle.info.	http://www.publix.com/images/products/300000/300351-600x600-A.jpg	Nutrition Facts Serving Size 4 crackers (14g) Servings Per Container about 27 Amount Per Serving Calories from Fat 25 Calories 70 % Daily Value* 5% Total Fat 3g 3% Saturated Fat 0.5g Trans Fat 0g Polyunsaturated Fat 2g Monounsaturated Fat 1g 0% Cholesterol 0mg 5% Sodium 125mg 3% Total Carbohydrates 9g 4% Dietary Fiber 1g Sugars 1g Protein 1g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Soybean Oil With Tbhq For Freshness, Sugar, Contains Two Percent Or Less Of Salt, Leavening (Sodium Acid Pyrophosphate, Baking Soda, Monocalcium Phosphate), High Fructose Corn Syrup, Corn Syrup, Cornstarch, Soy Lecithin.	Contains Wheat And Soy Ingredients.
Ritz Crackers, Original, Fresh Stacks	8 stacks [11.8 oz (334 g)]		http://www.publix.com/images/products/310000/312673-600x600-A.jpg	Nutrition Facts Serving Size 5 Cracker(s) (16g) Servings Per Container abnout 21 Amount Per Serving Calories from Fat 40 Calories 80 % Daily Value* 7% Total Fat 4.5g 5% Saturated Fat 1g Trans Fat 0g Polyunsaturated Fat 2g Monounsaturated Fat 1g 0% Cholesterol 0mg 4% Sodium 105mg 0% Potassium 15mg 3% Total Carbohydrates 10g 0% Dietary Fiber 0g Sugars 1g Protein 1g 0% Vitamin A 0% Vitamin C 2% Calcium 2% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Canola Oil, Palm Oil, Sugar, Salt, Leavening (Calcium Phosphate And/Or Baking Soda), High Fructose Corn Syrup, Soy Lecithin, Natural Flavor.	Contains: Wheat, Soy.
Cheez It Baked Snack Crackers, Original	12.4 oz (351 g)	Made with 100% real cheese. Per 25 Crackers: 150 calories; 2 g sat fat (10% DV); 230 mg sodium (10% DV); 0 g sugars. Kellogg's Family rewards. Real cheese matters. Twitter.com/Cheezit. Facebook.com/Cheezit. Produced with genetic engineering. Questions or comments? Visit: Cheez-It.com. Call: 1-877-453-5837. Provide production code on package. how2recycle.info. Sustainable Forestry Initiative: Certified Sourcing. www.sfiprogram.org. Collect points. Earn rewards. No more codes. Two easy ways to collect points! Go to KFR.com to learn more.Show Lesslect points! Go to KFR.com to learn more.	http://www.publix.com/images/products/10000/011069-600x600-A.jpg	Nutrition Facts Serving Size 27 crackers (30g) Servings Per Container about 11 Amount Per Serving Calories from Fat 70 Calories 150 % Daily Value* 12% Total Fat 8g 10% Saturated Fat 2g Trans Fat 0g Polyunsaturated Fat 4g Monounsaturated Fat 2g 0% Cholesterol 0mg 10% Sodium 230mg 6% Total Carbohydrates 17g 4% Dietary Fiber 1g Sugars 0g Protein 3g 2% Vitamin A 0% Vitamin C 4% Calcium 6% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate [Vitamin B1], Riboflavin [Vitamin B2], Folic Acid), Vegetable Oil (Soybean And Palm Oil With Tbhq For Freshness), Cheese Made With Skim Milk (Skim Milk, Whey Protein, Cheese Cultures, Salt, Enzymes, Annatto Extract For Color), Contains Two Percent Or Less Of Salt, Paprika, Yeast, Paprika Oleoresin For Color, Soy Lecithin.	Contains Wheat, Milk And Soy Ingredients.
Goldfish Baked Snack Crackers, Cheddar	6.6 oz (187 g)	Per 55 Pieces: 140 calories; 1 g sat fat (5% DV); 250 mg sodium (10% DV); 0 g sugars. Baked with 100% real cheese. No artificial flavors or preservatives. Colors sourced from plants. We are Bakers, but we are parents too. Which is why we bake these Goldfish crackers with smiles and ingredients that you can feel good about. Always baked with 100% real cheese. We know that allergen information is important to parents. That is why we clearly label all ingredients on our side panel. Call us if you have questions. Try all our great flavors! Share your Goldfish tales. Learn more At GoldfishSmiles.com. If you have any questions or comments about this product, please include printed date code from top of package, along with the proof of purchase panel. - Thank you. Questions or comments? 1-888-737-7374. Partially produced with genetic engineering. Baked in USA.Show Lessave questions. Try all our great flavors! Share your Goldfish tales. Learn more At GoldfishSmiles.com. If you have any questions or comments about this product, please include printed date code from top of package, along with the proof of purchase panel. - Thank you. Questions or comments? 1-888-737-7374. Partially produced with genetic engineering. Baked in USA.	http://www.publix.com/images/products/310000/311241-600x600-A.jpg	Nutrition Facts Serving Size 55 Piece(s) (30g) Servings Per Container 6 Amount Per Serving Calories from Fat 45 Calories 140 % Daily Value* 8% Total Fat 5g 5% Saturated Fat 1g Trans Fat 0g Polyunsaturated Fat 1g Monounsaturated Fat 2.5g 3% Cholesterol 10mg 10% Sodium 250mg 7% Total Carbohydrates 20g 4% Dietary Fiber 1g Sugars 0g Sugar Alcohol 0g Protein 3g 0% Vitamin A 0% Vitamin C 4% Calcium 6% Iron 10% Thiamin 10% Riboflavin 8% Niacin 10% Folate * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Made With Smiles And Enriched Wheat Flour (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Cheddar Cheese ([Cultured Milk, Salt, Enzymes], Annatto), Canola And/Or Sunflower Oils, Contains 2 Percent Or Less Of: Salt, Yeast, Sugar, Autolyzed Yeast, Baking Soda, Monocalcium Phosphate, Paprika, Spices, Celery, Onion Powder.	Contains: Wheat, Milk. Do Not Purchase If Bag Is Open Or Torn.
Publix Saltines, Original	16 oz (1 lb) 453 g		http://www.publix.com/images/products/10000/011001-600x600-A.jpg	Nutrition Facts Serving Size 5 crackers (14g) Servings Per Container about 32 Amount Per Serving Calories from Fat 15 Calories 60 % Daily Value* 2% Total Fat 1.5g 0% Saturated Fat 0g Trans Fat 0g Polyunsaturated Fat 1g Monounsaturated Fat 0g 0% Cholesterol 0mg 7% Sodium 170mg 3% Total Carbohydrates 10g 0% Dietary Fiber 0g Sugars 0g Protein 1g 0% Vitamin A 0% Vitamin C 0% Calcium 4% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate {Vitamin B1}, Riboflavin {Vitamin B2}, Folic Acid), Vegetable Oil (Contains One Or More Of The Following: Palm, Canola, Soybean With Tbhq For Freshness), Contains Two Percent Or Less Of: Enzymes, Yeast, Malted Barley Flour, Sodium Sulfite, Salt, Leavening (Baking Soda).	Contains Wheat Ingredients. May Contain Trace Amounts Of Soybean.
Wheat Thins Snacks, Original	9.1 oz (257 g)	21 g whole grain per 31 g serving. 100% whole grain. No artificial flavors or colors. Per 16 Pieces: 140 calories; 0.5 g sat fat (3% DV); 200 mg sodium (9% DV); 5 g sugars. New look! Open for 100% awesome! All hail 100% whole grain Wheat Thins. 100% awesome with its baked thin goodness and indescribably delicious taste. Wheat Thins Original Snacks have 21 g whole grain per 31 g serving. Nutritionists recommend eating 48 g or more of whole grains throughout the day. Questions or comments? Call weekdays: 1-800-622-4726. Please have package available. Keep it Going: 100% recycled paperboard. Please recycle this carton. Minimum 35% post-consumer content. This package is sold by weight, not by volume. If it does not appear full when opened, it is because contents have settled during shipping and handling.Show Lessekdays: 1-800-622-4726. Please have package available. Keep it Going: 100% recycled paperboard. Please recycle this carton. Minimum 35% post-consumer content. This package is sold by weight, not by volume. If it does not appear full when opened, it is because contents have settled during shipping and handling.	http://www.publix.com/images/products/300000/300568-600x600-A.jpg	Nutrition Facts about 8 servings per container Serving size 16 Cracker(s) (31g) Amount Per Serving Calories 140 % Daily Value* 8% Total Fat 5g 3% Saturated Fat 0.5g Trans Fat 0g Polyunsaturated Fat 3g Monounsaturated Fat 1g 0% Cholesterol 0mg 8% Sodium 200mg 7% Total Carbohydrates 22g 12% Dietary Fiber 3g Total Sugars 5g Includes 0g Added Sugars Protein 2g 0% Vitamin A 0% Vitamin C 2% Calcium 4% Iron 2% Potassium 90mg * The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calorie a day is used for general nutritoin advice..	Whole Grain Wheat Flour, Canola Oil, Sugar, Cornstarch, Malt Syrup (From Corn And Barley), Salt, Refiner's Syrup, Leavening (Calcium Phosphate And Baking Soda). Bht Added To Packaging Material To Preserve Freshness.	Contains: Wheat.
Town House Crackers, Oven Baked, Light and Buttery, Original	13.8 oz (391 g)	Fresh new look. Same great taste. Per 5 Crackers: 90 calories; 1 g sat fat (5% DV); 130 mg sodium (6% DV); 1 g sugars. Kellogg's Family Rewards. Follow us on Pinterest. So many ways to wow! For snacking, topping or dipping, add a little flair to your get-togethers with all our Town House cracker varieties! Kellogg's Family Rewards: Collect points. Earn rewards. No more codes, two easy ways to collect points! Go to Kfr.com to learn more. They love to mingle! No cholesterol. Low in saturated fat. Sustainable Forestry Initiative: Certified fiber sourcing. www.sfiprogram.org. how2recycle.info. Questions or comments? Visit: keebler.com. Call: 1-877-453-5837. Provide production code on package.Show LessSustainable Forestry Initiative: Certified fiber sourcing. www.sfiprogram.org. how2recycle.info. Questions or comments? Visit: keebler.com. Call: 1-877-453-5837. Provide production code on package.	http://www.publix.com/images/products/300000/300363-600x600-A.jpg	Nutrition Facts Serving Size 5 Cracker(s) (16g) Servings Per Container about 24 Amount Per Serving Calories from Fat 45 Calories 90 % Daily Value* 8% Total Fat 5g 5% Saturated Fat 1g Trans Fat 0g Polyunsaturated Fat 3g Monounsaturated Fat 1g 0% Cholesterol 0mg 5% Sodium 130mg 3% Total Carbohydrates 9g 0% Dietary Fiber 0g Sugars 1g Protein 1g 0% Vitamin A 0% Vitamin C 0% Calcium 0% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Vitamin B1 [Thiamin Mononitrate], Vitamin B2 [Riboflavin], Folic Acid), Soybean Oil With Tbhq For Freshness, Sugar, Contains Two Percent Or Less Of Salt, Corn Syrup, Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate), Soy Lecithin.	Contains Wheat And Soy Ingredients.
Ritz Toasted Chips, Original	8.1 oz (229 g)	55% less fat than the leading regular fried potato chips. About 13 Chips: 130 calories; 0.5 g sat fat (3% DV); 250 mg sodium (10% DV); 3 g sugars. Toasted. Not fried! There's nothing like an original - the source of our great flavor. A great tasting toasted not fried chip that's fun right out the bag. Because sometimes an original is all you need. Starting with wheat grown in the North American heartland, we toast our crispy-crunchy snacks to perfection. They're made with 55% less fat than the leading regular fried potato chips and with a whole lot of fun! SmartLabel. Visit us at: ritzcrackers.com or call weekdays: 1-800-622-4726. Ritz Toasted Chips - Original have 4.5 g of fat per serving compared with 10 g per serving of the leading regular fried potato chips.Show Lesseading regular fried potato chips and with a whole lot of fun! SmartLabel. Visit us at: ritzcrackers.com or call weekdays: 1-800-622-4726. Ritz Toasted Chips - Original have 4.5 g of fat per serving compared with 10 g per serving of the leading regular fried potato chips.	http://www.publix.com/images/products/310000/310139-600x600-A.jpg	Nutrition Facts Serving Size 1 Ounce(s) (28g) Servings Per Container 8 Amount Per Serving Calories from Fat 40 Calories 130 % Daily Value* 7% Total Fat 4.5g 3% Saturated Fat 0.5g Trans Fat 0g 0% Cholesterol 0mg 10% Sodium 250mg 0% Potassium 20mg 7% Total Carbohydrates 20g 0% Dietary Fiber 0g Sugars 3g Protein 2g 0% Vitamin A 0% Vitamin C 4% Calcium 8% Iron * Percent Daily Values are based on a 2,000 calorie diet. Your daily values may be higher or lower depending on your calorie needs. Calories 2000 2500 Total Fat Less than 65g 80g    Saturated Fat Less than 20g 25g Cholesterol Less than 300mg 300mg Sodium Less than 2400mg 2400mg Potassium   3500mg 3500mg Total Carbohydrate   300g 375g    Dietary Fiber   25g 30g Protein   50g 65g	Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate {Vitamin B1}, Riboflavin {Vitamin B2}, Folic Acid), Soybean And/Or Canola Oil, Cornstarch, Sugar, High Fructose Corn Syrup, Potato Starch, Leavening (Calcium Phosphate And/Or Baking Soda), Salt.	Contains: Wheat.
